PMID,Gene Name,Gene Type,Cell Name,Cell Type,Tissue Type,Experiment Type,Experimental Method,Title,Description of Gene,Interacting Gene,CellOntologyID
25336400,MCAM,I Marker,Heart pericytes cell,Normal cell,Myocardium,low-throughput,Flow cytometry;Immunohistochemistry;RT‐PCR;qRT-PCR;Western blot;Immunofluorescent staining;Microscopic observation;sqRT-PCR,Human myocardial pericytes: multipotent mesodermal precursors exhibiting cardiac specificity,"Fetal and adult human heart pericytes (hHPs) express canonical pericyte markers in situ, including CD146, NG2, platelet-derived growth factor receptor PDGFRB, PDGFRA, alpha-smooth muscle actin, and smooth muscle myosin heavy chain, but not CD117, CD133, and desmin, nor endothelial cell (EC) markers.",PDGFRB;CSPG4;PDGFRA,
25514850,ATOH8,I Marker,Muscle cell,Normal cell,Muscle,low-throughput,qPCR;qRT-PCR;RT-PCR;Immunofluorescent staining;Microscopic observation,ATOH8: a novel marker in human muscle fiber regeneration,The relative co-expression of ATOH8 with the above-mentioned markers did not vary among the disorders.,PAX7,CL_0000187
25989979,CD44,I Marker,Stem cell,Normal cell,Uterus,low-throughput,Western blot;Flow cytometry; Microscopic observation;Immunofluorescent staining,Stro-1/CD44 as putative human myometrial and fibroid stem cell markers,"We have demonstrated that STRO1/CD44 can be used as specific surface markers to enrich a subpopulation of myometrial/fibroids cells, exhibiting key features of stem/progenitor cells.",,CL_0000034
26058593,CD27,I Marker,B cell,Normal cell,Kidney,low-throughput,Flow cytometry,Human proximal tubule epithelial cells modulate autologous B-cell function ,"PTEC decreased B cell proliferative responses, whilst B cells cultured in the presence of PTEC displayed decreased levels of CD27, a marker of plasma B cells and memory cells. ",IL10,CL_0000236
26198909,THY1,I Marker,Stem cell,Normal cell,Dental pulp,low-throughput,Immunohistochemistry;Flow cytometry;Microscopic observation,The dental pulp stem cell niche based on aldehyde dehydrogenase 1 expression,"The immunohistochemistry analyses showed that ALDH1, CD90 and STRO-1-positive cells were located mainly in the perivascular areas and nerve fibres of dental pulps.",ALDH1A1;NA,CL_0000034
26303631,CD44,I Marker,Mesenchyme cell,Normal cell,Bone marrow,low-throughput,Flow cytometry;qRT-PCR;Microscopic observation,"Isolation, selection and culture methods to enhance clonogenicity of mouse bone marrow derived mesenchymal stromal cell precursors","These subpopulations were analysed by flow cytometry using commonly used mBM-MSC cell surface marker, e.g. SCA-1, ITGB1 and CD44.",ATXN1;ITGB1,CL_0008019
26303631,ITGB1,I Marker,Mesenchyme cell,Normal cell,Bone marrow,low-throughput,Flow cytometry;qRT-PCR;Microscopic observation,"Isolation, selection and culture methods to enhance clonogenicity of mouse bone marrow derived mesenchymal stromal cell precursors","These subpopulations were analysed by flow cytometry using commonly used mBM-MSC cell surface marker, e.g. SCA-1, ITGB1 and CD44.",CD44;ATXN1,CL_0008019
26327908,MKI67,I Marker,Endothelial cell,Normal cell,Blood vessel,low-throughput,Immunohistochemistry;Microscopic observation;Immunofluorescent staining,A Case of Abnormal Lymphatic-Like Differentiation and Endothelial Progenitor Cell Activation in Neovascularization Associated with Hemi-Retinal Vein Occlusion,"Immunoreactivity for LYVE-1 and Prox-1 was detected, with Prox-1 being more widely expressed in the active KI67-positive lumen-lining cells.",PROX1,CL_0000115
26339985,ENG,I Marker,Mesenchyme cell,Normal cell,Umbilical cord,low-throughput,RT-PCR;Immunohistochemistry,Effects of maternal age on the expression of mesenchymal stem cell markers in the components of human umbilical cord,"The decreased expression of ENG and ITGB1 MSCs markers with age suggests that selective isolation of MSCs from Wharton's jelly, umbilical artery or umbilical vein of younger mothers should be recommended",ITGB1,CL_0008019
26339985,ITGB1,I Marker,Mesenchyme cell,Normal cell,Umbilical cord,low-throughput,RT-PCR;Immunohistochemistry,Effects of maternal age on the expression of mesenchymal stem cell markers in the components of human umbilical cord,"The decreased expression of CD105 and CD29 MSCs markers with age suggests that selective isolation of MSCs from Wharton's jelly, umbilical artery or umbilical vein of younger mothers should be recommended",ENG,CL_0008019
27835617,CD24,I Marker,T cell,Normal cell,Colon,low-throughput,Flow cytometry;RT-PCR;qPCR,Novel immortal human cell lines reveal subpopulations in the nucleus pulposus,"Profiling of a set of novel NP markers (CD24, CA12, PAX1, PTN, FOXF1 and KRT19 mRNA) in a representative set of subclones substantiated successful immortalization of multiple cellular subpopulations from primary isolates and confirmed their NP origin and/or phenotype.",PAX1;PTN;CA12;KRT19;FOXF1,CL_0000084
27835617,CA12,I Marker,T cell,Normal cell,Colon,low-throughput,Flow cytometry;RT-PCR;qPCR,Novel immortal human cell lines reveal subpopulations in the nucleus pulposus,"Profiling of a set of novel NP markers (CD24, CA12, PAX1, PTN, FOXF1 and KRT19 mRNA) in a representative set of subclones substantiated successful immortalization of multiple cellular subpopulations from primary isolates and confirmed their NP origin and/or phenotype.",PAX1;PTN;CD24;KRT19;FOXF1,CL_0000084
27835617,PTN,I Marker,T cell,Normal cell,Colon,low-throughput,Flow cytometry;RT-PCR;qPCR,Novel immortal human cell lines reveal subpopulations in the nucleus pulposus,"Profiling of a set of novel NP markers (CD24, CA12, PAX1, PTN, FOXF1 and KRT19 mRNA) in a representative set of subclones substantiated successful immortalization of multiple cellular subpopulations from primary isolates and confirmed their NP origin and/or phenotype.",PAX1;CA12;CD24;KRT19;FOXF1,CL_0000084
27835617,KRT19,I Marker,T cell,Normal cell,Colon,low-throughput,Flow cytometry;RT-PCR;qPCR,Novel immortal human cell lines reveal subpopulations in the nucleus pulposus,"Profiling of a set of novel NP markers (CD24, CA12, PAX1, PTN, FOXF1 and KRT19 mRNA) in a representative set of subclones substantiated successful immortalization of multiple cellular subpopulations from primary isolates and confirmed their NP origin and/or phenotype.",PAX1;PTN;CA12;CD24;FOXF1,CL_0000084
29108995,CD1D,I Marker,Bone marrow cell,Normal cell,Peripheral blood,low-throughput,qRT-PCR;RT-PCR;Flow cytometry;qPCR,CD1d is a novel cell-surface marker for human monocytic myeloid-derived suppressor cells with T cell suppression activity in peripheral blood after allogeneic hematopoietic stem cell transplantation,"Our results suggest that CD1D could be a valuable marker for further therapeutic evaluation of human monocytic MDSCs for immune-related diseases, including GVHD.",,
29338788,ACE,I Marker,Mesenchyme cell,Normal cell,Bone marrow,low-throughput,Flow cytometry,High-throughput immunophenotypic characterization of bone marrow- and cord blood-derived mesenchymal stromal cells reveals common and differentially expressed markers: identification of angiotensin-converting enzyme (CD143) as a marker differentially expressed between adult and perinatal tissue sources,"The main result of the work is the exclusive recognition of ACE/CD143 as a marker able to segregate adult from perinatal MSC, being CD143 unequivocally expressed on BM- and AT-MSC but not on UC- and CB-MSC.",ACE,CL_0008019
29393262,MAGEA4,I Marker,Germ cell,Normal cell,Gonad,low-throughput,Immunohistochemistry;Microscopic observation,Androgen Insensitivity Syndrome at Prepuberty: Marked Loss of Spermatogonial Cells at Early Childhood and Presence of Gonocytes up to Puberty,"Combined with the immunohistochemical analysis of specific germ cell markers (MAGE-A4 for premeiotic germ cells and of OCT3/4 for gonocytes), enabled us to carry out a thorough investigation of germ cell life in an androgen-insensitive microenvironment throughout prepuberty until young adulthood.",POU5F1,CL_0000586
29393262,MAGEA4,I Marker,Germ cell,Normal cell,Gonad,low-throughput,Immunohistochemistry;Microscopic observation,Androgen Insensitivity Syndrome at Prepuberty: Marked Loss of Spermatogonial Cells at Early Childhood and Presence of Gonocytes up to Puberty,"Combined with the immunohistochemical analysis of specific germ cell markers (MAGE-A4 for premeiotic germ cells and of OCT3/4 for gonocytes), enabled us to carry out a thorough investigation of germ cell life in an androgen-insensitive microenvironment throughout prepuberty until young adulthood.",POU5F1,CL_0000670
29477147,MIR126,I Marker,Endothelial cell,Normal cell,Epithelium,low-throughput,Western blot;qPCR;TaqMan PCR,MicroRNA-19a contributes to the epigenetic regulation of tissue factor in diabetes,MiR-19a and miR-126 cooperate to exhibit anti-thrombotic properties via regulating Vascular TF expression. Modulating the post-transcriptional control of TF in diabetes may provide a future anti-thrombotic and anti-infammatory therapy.,TF,CL_0000115
29477147,MIR19A,I Marker,Endothelial cell,Normal cell,Epithelium,low-throughput,Western blot;qPCR;TaqMan PCR,MicroRNA-19a contributes to the epigenetic regulation of tissue factor in diabetes,MiR-19a and miR-126 cooperate to exhibit anti-thrombotic properties via regulating Vascular TF expression. Modulating the post-transcriptional control of TF in diabetes may provide a future anti-thrombotic and anti-infammatory therapy.,TF,CL_0000115
29569917,CD40,I Marker,Macrophage cell,Normal cell,Immune,low-throughput,qRT-PCR;Taqman qPCR;RT-qPCR;qPCR;Western blot;Immunofluorescent staining,Terminal Sugar Moiety Determines Immunomodulatory Properties of Poly(propyleneimine) Glycodendrimers,"An important result of this action was the overexpression of CD40 and IL8 genes, potentially leading to an activated, proinflammatory phenotype in the monocyte/macrophage cell lineage.",CXCL8,CL_0000235
29577935,PTH1R,I Marker,Fibroblast cell,Normal cell,Intestine,low-throughput,qPCR;qRT-PCR;Western blot; Microscopic observation;Immunofluorescent staining;Immunohistochemistry,Parathyroid Hormone-Like Hormone Induces Epithelial-to-Mesenchymal Transition of Intestinal Epithelial Cells by Activating the Runt-Related Transcription Factor 2,"PTH1R can propagate the protein kinase A (PKA) signal and activate downstream nuclear transcription factors, including runt-related transcription factor 2 (RUNX2).",RUNX2,CL_0000057
29578310,UTF1,I Marker,Stem cell,Normal cell,Pancreas,low-throughput,Immunofluorescent staining,Insights into Islet Differentiation and Maturation through Proteomic Characterization of a Human iPSC-Derived Pancreatic Endocrine Model,"Indeed hiPSC stage is characterized by high levels of RNA and protein expression of pluripotency markers such as POU domain, class 5, transcription factor 1 (POU5F1), undifferentiated embryonic cell transcription factor 1 (UTF1), and developmental pluripotency-associated protein 4 (DPPA4)",POU5F1,CL_0000034
29940355,SETD1A,I Marker,Endothelial cell,Normal cell,Blood vessel,low-throughput,Western blot;qPCR;RT-PCR,The histone methyltransferase SETD1A regulates thrombomodulin transcription in vascular endothelial cells,Our data illustrate a previously unrecognized pathway in which SETD1A contributes to RA-induced TM expression in vascular endothelial cells by modulating the activity and expression of KLF4.,KLF4,CL_0000115
29940355,THBD,I Marker,Endothelial cell,Normal cell,Blood vessel,low-throughput,Western blot;qPCR;RT-PCR,The histone methyltransferase SETD1A regulates thrombomodulin transcription in vascular endothelial cells,THBD is one of a group of proteins that confer thromboresistance to endothelial cells.,KLF4,CL_0000115
30072366,ARID3A,I Marker,Stem cell,Normal cell,Hematopoietic,high-throughput,ChIP-seq,Tracing human stem cell lineage during development using DNA methylation,ARID3A plays a critical role in lineage commitment in early hematopoiesis,,CL_0000034
30260000,NT5E,I Marker,Stem cell,Normal cell,Dental pulp,low-throughput,Immunofluorescence staining;Flow-throughput cytometry;sqPCR;Western blot,Passage-dependent expression of STRO-1 in human gingival mesenchymal stem cells,CD73 is the positive marker expressed in Gingival mesenchymal stem cell regulated by STRO1,,CL_0000034
30260000,CD34,I Marker,Stem cell,Normal cell,Dental pulp,low-throughput,Immunofluorescence staining;Flow-throughput cytometry;sqPCR;Western blot,Passage-dependent expression of STRO-1 in human gingival mesenchymal stem cells,CD34 is the marker negative expressed in Gingival mesenchymal stem cell regulated by STRO1,,CL_0000034
30260000,THY1,I Marker,Stem cell,Normal cell,Dental pulp,low-throughput,Immunofluorescence staining;Flow-throughput cytometry;sqPCR;Western blot,Passage-dependent expression of STRO-1 in human gingival mesenchymal stem cells,CD90 is the marker expressed in Gingival mesenchymal stem cell regulated by STRO1,,CL_0000034
30260000,POU5F1,I Marker,Stem cell,Normal cell,Dental pulp,low-throughput,Immunofluorescence staining;Flow-throughput cytometry;sqPCR;Western blot,Passage-dependent expression of STRO-1 in human gingival mesenchymal stem cells,STRO-1 may be a useful marker to isolate undifferentiated (potent) mesenchymal cells from gingiva.,CD34;NT5E;POU5F1;THY1;NANOG;NES,CL_0000034
30267576,DDX58,I Marker,T cell,Normal cell,Lymph,low-throughput,Weston blot;qPCR;Immunofluorescent staining,FKBP8 inhibits virus-induced RLR-VISA signaling,"DDX58 is the marker expressed in T cell regulated by FKBP8.The interaction of FKBP8 with VISA, retinoic acid inducible protein 1 (RIG-I), and IFN regulatory factor 3 (IRF3) was confirmed during viral infection in mammalian cells by coimmunoprecipitation.",FKBP8,CL_0000084
30267576,TBK1,I Marker,T cell,Normal cell,Lymph,low-throughput,Weston blot;qPCR;Immunofluorescent staining,FKBP8 inhibits virus-induced RLR-VISA signaling,TBK1 is the marker expressed in T cell regulated by FKBP8.FKBP8 acts as a negative interacting partner to regulate RLR-VISA signaling by acting on VISA and TANK binding kinase 1 (TBK1),FKBP8,CL_0000084
30462552,PRRT2,I Marker,Endothelial cell,Normal cell,Aorta,low-throughput + high-throughput,qPCR;Western blot;Flow cytometry;Immunofluorescent staining; Microscopic observation;Gene knock down,Downregulation of GATA6 in mTOR-inhibited human aortic endothelial cells: effects on TNF--induced VCAM-1 expression and monocytic cell adhesion,"Activation of PKC- and upregulation of miR-200a-3p independently inhibited TNF-induced transcription factor GATA6 expression, which in turn inhibited VCAM-1 expression and monocyte adhesion to aortic endothelium",GATA6;VCAM1,CL_0000115
30482071,SDC1,I Marker,Plasma cell,Normal cell,Uterus,low-throughput,Immunohistochemistry;Microscopic observation,Multiple Myeloma 1 Transcription Factor Is Superior to CD138 as a Marker of Plasma Cells in Endometrium,CD138 is a marker expressed in endometrium plasma cell.,MUM1,CL_0000786
30536618,HDAC2,I Marker,Stem cell,Normal cell,Bone,low-throughput + high-throughput,PCR;ChIP;Weston blot;Microscopic observation,LncRNA HOXA‐AS2 positively regulates osteogenesis of mesenchymal stem cells through inactivating NF‐κB signalling,"NF-κB and HDAC2 cooperate with H3K27 deacetylation mechanism to induce transcriptional inhibition of SP7, the main transcription factor controlling osteogenesis.",SP7,CL_0000034
30638864,BPI,I Marker,Blood cell,Normal cell,Blood,low-throughput + high-throughput,PCR;Sequencing technique,The blood transcriptome of childhood malaria,"ARG1,BPI,CD163,IFI27,HPandTNFAIP6tran-script levels correlated positively with lactatemia, and negatively with hemoglobin concentrations.",CD163;HP;TNFAIP6;IFI27;ARG1,
30638864,HP,I Marker,Blood cell,Normal cell,Blood,low-throughput + high-throughput,PCR;Sequencing technique,The blood transcriptome of childhood malaria,"ARG1,BPI,CD163,IFI27,HPandTNFAIP6tran-script levels correlated positively with lactatemia, and negatively with hemoglobin concentrations.",CD163;TNFAIP6;IFI27;ARG1;BPI,
30638864,TNFAIP6,I Marker,Blood cell,Normal cell,Blood,low-throughput + high-throughput,PCR;Sequencing technique,The blood transcriptome of childhood malaria,"ARG1,BPI,CD163,IFI27,HPandTNFAIP6tran-script levels correlated positively with lactatemia, and negatively with hemoglobin concentrations.",CD163;HP;IFI27;ARG1;BPI,
30679800,MN1,I Marker,Bone marrow cell,Normal cell,Bone marrow,low-throughput + high-throughput,Sequencing technique;Weston blot; Microscopic observation,LSD1 inhibition by tranylcypromine derivatives interferes withGFI1-mediated repression of PU.1 target genes and inducesdifferentiation in AML,MN1 is a transcription factor that affects Bone marrow cell,SPI1,
30691826,MMP12,I Marker,Interstitial cell,Normal cell,Artery,low-throughput,Western blot;Immunoblotting,MMP-12eInduced Pro-osteogenic Responses in Human Aortic Valve Interstitial Cells,"MMP12 induce the pro-osteogenic responses in human aortic valve interstitial cells (AVICs) and Suppression of MMP-12 by its inhibitor decreased the expression of RUNX-2, BMP-2, and ALP.",BMP2;ALPL;RUNX2,CL_0000178
30703484,GPX1,I Marker,Islet cell,Normal cell,Pancreas,low-throughput,Western blot;Immunofluorescent staining,Glutathione peroxidase-1 inhibits transcription of regenerating islet-derived protein-2 in pancreatic islets,"Our findings reveal GPX1 as a novel regulator of Reg2 expression, and linking these two previously-unrelated proteins will have broad biomedical implications.",JUN;DBP,
30706178,IL18,I Marker,Smooth muscle cell,Normal cell,Blood vessel,low-throughput,Western blot;qRT-PCR;Microscopic observation,SGK1-dependent stimulation of vascular smooth muscle cell osteo-/chondrogenic transdifferentiation by interleukin-18,SGK1 expression is upregulated by IL-18 in VSMCs and SGK1 participates in the intracellular signaling of IL-18-induced osteo-/chondrogenic transdifferentiation of VSMCs.,SGK1,CL_0000192
30782776,CRTC2,I Marker,T cell,Normal cell,Epithelium,low-throughput,Western blot;Immunofluorescent staining,Constitutive p38 activation caused inactivation of CRE transcription is mediated by hyper-phosphorylation dependent CRTC2 nucleocytoplasmic transport,CRTC2 as a downstream 23substrate of constitutively activated p38.,,CL_0000084
30782853,SP1,I Marker,Liver cell,Normal cell,Liver,low-throughput,RT-PCR;Western blot,Coordinated Transcriptional Regulation of Cytochrome P450 3As by Nuclear Transcription Factor Y (NF-Y) and Specificity Protein 1 (Sp2),"human CYP3A genes are regulated by NF-Y and Sp1 in a coordinated manner, and that the distance between these two cis-acting elements is crucial for constitutive CYP4A",CYP3A4,CL_0000182
30782853,CYP3A4,I Marker,Liver cell,Normal cell,Liver,low-throughput,RT-PCR;Western blot,Coordinated Transcriptional Regulation of Cytochrome P450 3As by Nuclear Transcription Factor Y (NF-Y) and Specificity Protein 1 (Sp3),the basal transcriptional regulation of CYP3Asin hepatocytes is evolutionarily conserved between humans,SP1,CL_0000182
30784215,CD44,I Marker,Mesenchyme cell,Normal cell,Adipose,low-throughput + high-throughput,RT-qPCR;RT-qPCR;mRNA primer sequences;RNA-seq,Effect of Lidocaine on Viability and Gene Expression of Human Adipose–derived Mesenchymal Stem Cells: An in vitro Study,CD44 is a Marker in Mesenchymal stromal/stem cells,PRRX1;SP1;ATF1,CL_0008019
30784215,ENG,I Marker,Mesenchyme cell,Normal cell,Adipose,low-throughput + high-throughput,RT-qPCR;RT-qPCR;mRNA primer sequences;RNA-seq,Effect of Lidocaine on Viability and Gene Expression of Human Adipose–derived Mesenchymal Stem Cells: An in vitro Study,CD105 is a Marker in Mesenchymal stromal/stem cells,PRRX1;SP1;ATF1,CL_0008019
30792264,SDC1,I Marker,Bone marrow cell,Normal cell,Bone marrow,low-throughput,Immunohistochemistry;Microscopic observation,"Metabolic, anti‐apoptotic and immune evasion strategies of primary human myeloma cells indicate adaptations to hypoxia",CD138 is a Marker in Bone marrow plasma cell,MYC,
30808802,PTPRD,I Marker,Lumbar cell,Normal cell,Bone,high-throughput,Gene whole exome sequencing,Genome-wide meta-analysis identifies genetic locus on chromosome 9 associated with Modic changes,PTPRD is a novel candidate gene for Mc that may act via the development of cartilage or nervous system; further work is needed to define the mechanisms underlying the pathways leading to development of Mc.,SPI1;PBX3;BCL11A,
30817089,AKT1,I Marker,Epithelial cell,Normal cell,Urethra,low-throughput,Western blot,Urinary exosome as a potential biomarker for urinary tract infection,Akt and CD9 in urinary exosomescould be useful markers for differential diagnosis of UTI and ABU.,CD9,CL_0000066
30817089,CD9,I Marker,Epithelial cell,Normal cell,Urethra,low-throughput,Western blot,Urinary exosome as a potential biomarker for urinary tract infection,"In urinary exosomes of UTI patients, Akt significantly diminished, and an exosomal marker CD9 showed a trend to decrease after treatment with antimicrobial agents.",AKT1,CL_0000066
30830262,IL1RN,I Marker,Macrophage cell,Normal cell,Pancreas,low-throughput,Flow cytometry;RT-PCR,Macrophage alterations in islets of obese mice linked to beta cell disruption in diabetes,IL1RN is a transcription factor that affects Macrophage,ITGAM;ADGRE1,CL_0000235
30830262,MRC1,I Marker,Macrophage cell,Normal cell,Pancreas,low-throughput,Flow cytometry;RT-PCR,Macrophage alterations in islets of obese mice linked to beta cell disruption in diabetes,MRC1 is a transcription factor that affects Macrophage,ITGAM;ADGRE1,CL_0000235
30831485,GUSB,I Marker,Epithelial cell,Normal cell,Colon,low-throughput,Flow cytometry;Immunofluorescent staining;Fluorescent microscopy;High performance liquid chromatography;Mass spectrometry analysis,Anti-inflammatory and immune-modulating effects of rice callus suspension culture (RCSC) and bioactive fractions in an in vitro inflammatory bowel disease model,GUSB is a transcription factor that affects Colon epithelial cell,GAPDH;HPRT1,CL_0000066
30848074,PSIP1,I Marker,Mononuclear cell,Normal cell,Blood,low-throughput,Flow cytometry;Immunofluorescent staining;Microscopic observation;qRT‐PCR,Long‐term molecular remission in a patient with acute myeloid leukemia harboring a new NUP98‐LEDGF rearrangement,"considerable variability in breakpoint location within both NUP98 and LEDGF, associated with alternative splicing affecting LEDGF.",IDH1;WT1;SRSF2,CL_0000576
30862784,STIM1,I Marker,T cell,Normal cell,Thymus,low-throughput + high-throughput,NTSYS-pc;Flow cytometry;Microscopic observation;Immunofluorescent staining;RT-PCR;RNA-seq,Tissue resident and follicular Treg cell differentiation is regulated by CRAC channels,STIM1 and STIM2 genes in mature Treg cellsabolishes Ca2+signaling and prevents their differentiation into follicular Treg and tissue-resident Treg cells.,,CL_0000084
30862784,STIM2,I Marker,T cell,Normal cell,Thymus,low-throughput + high-throughput,NTSYS-pc;Flow cytometry;Microscopic observation;Immunofluorescent staining;RT-PCR;RNA-seq,Tissue resident and follicular Treg cell differentiation is regulated by CRAC channels,STIM1 and STIM2 genes in mature Treg cellsabolishes Ca2+signaling and prevents their differentiation into follicular Treg and tissue-resident Treg cells.,,CL_0000084
30901906,WNT3A,I Marker,Fibroblast cell,Normal cell,Heart,low-throughput,Western blot;Immunofluorescent staining;qPCR,WNT3a and WNT5a Transported by Exosomes Activate WNT Signaling Pathways in Human Cardiac Fibroblasts,exosomes containing WNT proteins can functionally contribute to cardiac fibrosis by activating profibrotic WNT pathways on cardiac fibroblasts and may represent a novel mechanism of spreading profibrotic signals in the heart.,JUN;MAPK8,CL_0000057
30907193,IL17A,I Marker,T cell,Normal cell,Immune,low-throughput,RT-PCR,Effects of sitagliptin and vitamin D3 on T helper cell transcription factors and cytokine production in clinical subgroups of type 2 diabetes mellitus: highlights upregulation of FOXP3 and IL-37,"VitD3 may accelerate the process of T2DM treatment by exerting synergic anti-inflammatory effects on immune system through upregulation of FOXP3 and IL-37, and downregulation of RORct and BCL6 as well as IFN-c, IL-17 and IL-21 production.",FOXP3,CL_0000084
30907193,IL21,I Marker,T cell,Normal cell,Immune,low-throughput,RT-PCR,Effects of sitagliptin and vitamin D3 on T helper cell transcription factors and cytokine production in clinical subgroups of type 2 diabetes mellitus: highlights upregulation of FOXP3 and IL-37,"VitD3 may accelerate the process of T2DM treatment by exerting synergic anti-inflammatory effects on immune system through upregulation of FOXP3 and IL-37, and downregulation of RORct and BCL6 as well as IFN-c, IL-17 and IL-21 production.",FOXP3,CL_0000084
30944148,TLR3,I Marker,Stem cell,Normal cell,Immune,low-throughput + high-throughput,Western blot;RNA-seq;qRT-PCR;Flow-throughput cytometry;Gene knock down;Immunofluorescent staining,Forkhead box O1 (FOXO1) controls the migratory response of Toll-like receptor (TLR3) stimulated human mesenchymal stromal cells,TLR3 stimulation induces hMSC migration through the expression of FOXO1-activated genes.,RELA;NFKB1;FOXO3;FOXO1,CL_0000034
30981888,IL6,I Marker,Osteoblast cell,Normal cell,Bone,low-throughput,PCR;Western blot;Immunohistochemistry,IL-6 and sIL-6R induces STAT3-dependent differentiation of human VSMCs into osteoblast-like cells through JMJD2B-mediated histone demethylation of RUNX2,IL-6/sIL-6R promoted the expression of RUNT-associated transcription factor 2 (RUNX2),RUNX2,CL_0000062
30988422,OSTF1,I Marker,Stem cell,Normal cell,Bone marrow,low-throughput + high-throughput,RNA-seq;PCR,Engineering a haematopoietic stem cell niche by revitalizing mesenchymal stromal cells,"Five genes encoding transcription factors (KLF7, OSTF1, XBP1, IRF3 and IRF7) that restored HSC niche function in cultured bone marrow-derived MSCs.",MEF2C,CL_0000034
31042082,EGFR,I Marker,Epithelial cell,Normal cell,Lung,low-throughput,Western blot;qRT-PCR;Immunohistochemistry;Gene knock down,"Organic dust induces inflammatory gene expression in lung epithelial cells via
ROS-dependent STAT-3 activation",STAT-3 is an important transcription factor.STAT-3 activation is dependent on the activation of nonreceptor tyrosineprotein kinase 2 (TYK2) and epidermal growth factor receptor (EGFR) tyrosine kinases. ,STAT3,CL_0000066
31042082,TYK2,I Marker,Epithelial cell,Normal cell,Lung,low-throughput,Western blot;qRT-PCR;Immunohistochemistry;Gene knock down,"Organic dust induces inflammatory gene expression in lung epithelial cells via
ROS-dependent STAT-3 activation",STAT-3 is an important transcription factor.STAT-3 activation is dependent on the activation of nonreceptor tyrosineprotein kinase 2 (TYK2) and epidermal growth factor receptor (EGFR) tyrosine kinases. ,STAT3,CL_0000066
31059023,MIR152,I Marker,Inflammation cell,Normal cell,Lymph,high-throughput,Construction of the TF‑miRNA‑target DEGs regulatory network;Sequencing technique,miR‑148 family members are putative biomarkers for sepsis,Our analysis showed that the members of the MIR 148 family (MIR 148A/B and  MIR 152) are candidate biomarkers for sepsis,,
31135885,SIK1,I Marker,Muscle cell,Normal cell,Muscle,low-throughput,RT‐PCR;Western blot;qPCR,Exercise Induction of Key Transcriptional Regulators of Metabolic Adaptation in Muscle Is Preserved in Type 2 Diabetes,"Acute exercise increased gene expression of the nuclear hormone receptor 4A (NR4A) subfamily (;4- to 36-fold) and other key transcription factors, including ATF3, EGR1, JUNB, SIK1, PPARA, and PPARG (;1.5- to 12-fold), but with no differences between groups.",JUNB;PPARG;PPARA;ATF3;EGR1,CL_0000187
31156037,SUPT6H,I Marker,Embryonic cell,Normal cell,Embryo,low-throughput + high-throughput,Western blot;ChIP-seq,NET-prism enables RNA polymerase-dedicated transcriptional interrogation at nucleotide resolution,"Application of NET-prism on elongation factors (SPT6, SSRP1), splicing factors (SF1), and components of the pre-initiation complex (PIC) (TFIID, and Mediator) reveals NETprism inherent command on transcription dynamics, with regards to directionality and pausing over promoters, splice sites, and enhancers/super-enhancers. ",SF1;SSRP1,
31158246,TCEA3,I Marker,Myoblast cell,Normal cell,Embryo,low-throughput + high-throughput,qPCR;Western blot;Immunofluorescent staining;Immunohistochemistry,The transcription elongation factor TCEA3 promotes the activity of the myogenic regulatory factors,TCEA3 is a required co-factor for MRF driven gene expression during myogenesis.,ERAL1;HNF4A,CL_0000056
31209803,PARP1,I Marker,T cell,Normal cell,Lymph,low-throughput + high-throughput,PCR;siRNA;Weston blot;Sequencing technique,Inhibition of PARP1 Increases IRF-dependent Gene Transcription in Jurkat Cells*,PARP1 inhibited IRF1-mediated transcription in Jurkat cells by preventing IRF1 binding to ISREs in the promoters of target genes. It is suggested that PARP1 is a crucial regulator of IRF1-mediated immune response.,PSMB9;IL12RB2;OAS1,CL_0000084
31262200,MIR223,I Marker,Bone marrow cell,Normal cell,Bone marrow,low-throughput + high-throughput,Immunohistochemistry;ChIP;PCR,Kruppel-like factor 6 and miR-223 signaling axis regulates macrophage-mediated inflammation,KLF6 promotes proinflammatory gene expression and functions by repressing MIR223 expression in macrophages.,KLF6,
31284378,NOV,I Marker,Osteoblast cell,Normal cell,Bone,low-throughput,PCR;Western blot;Microscopic observation,CCN3 Facilitates Runx2 and Osterix Expression by Inhibiting miR-608 through PI3K/Akt Signaling in Osteoblasts,"CCN3, otherwise known as the nephroblastoma overexpressed (NOV) protein, is a cysteine-rich protein that belongs to the CCN family and regulates several cellular functions.",RUNX2,CL_0000062
31306558,PMEL,I Marker,Premelanosome cell,Normal cell,Skin,low-throughput + high-throughput,qRT-PCR;Sequencing technique,Identification of pathogenic genes and transcription factorsin vitiligo,"PMEL,MLANA,DCT,SOX10,TYRP1,and MC1R play a role in vitiligo, among which TYRP1 and MC1R are regulated by forkhead box J2 (FOXJ2).",TYRP1;MC1R;MLANA;DCT,
31306558,MLANA,I Marker,Premelanosome cell,Normal cell,Skin,low-throughput + high-throughput,qRT-PCR;Sequencing technique,Identification of pathogenic genes and transcription factorsin vitiligo,"PMEL,MLANA,DCT,SOX10,TYRP1,and MC1R play a role in vitiligo, among which TYRP1 and MC1R are regulated by forkhead box J2 (FOXJ2).",PMEL;TYRP1;MC1R;DCT,
